ISSUE ID;PRODUCT;DESCRIPTION;STATUS;TIMESTAMP
1492828;TABLEAU PREP;Calculated fields using the Partition function are missing after running a Tableau Prep flow in version 2022.4.;OPEN;08/02/2023 20:03
1020860;TABLEAU SERVER;When multiple keys are activated on Tableau Server, registration data may not be available in the Tableau Customer Portal for all keys.;OPEN;08/02/2023 20:03
1375761;TABLEAU SERVER;Taking a backup while using the --multithreaded flag would cause a file handle leak on Windows resulting in high cpu usage for the WMI process.;OPEN;08/02/2023 20:03
1406167;TABLEAU SERVER;The browser Options menu would not display when performing a right-click in the filter search box on Tableau Server 2021.2 and newer.;OPEN;08/02/2023 20:03
1376192;TABLEAU SERVER;Changing the input parameters of a SAP HANA data source and republishing the change to Tableau Server does not show the changes when opening a workbook from Tableau Server that connects to this updated data source.;OPEN;08/02/2023 20:03
1427637;TABLEAU SERVER;"Running ""tabcmd refreshextracts"" with the ""-addcalculations"" flag caused the error, ""SQLSTATE:58S01"" and ""Hyper was unable to resolve the database file path"". This error occurred in versions 2021.2 and higher, but does not occur in 2020.4 or 2021.1.";OPEN;08/02/2023 20:03
1422395;TABLEAU SERVER;It would not be possible to search users or groups on the permission for content edit screen where the username or group include some Japanese characters (dakuten, handankuten).;OPEN;08/02/2023 20:03
1378369;TABLEAU SERVER;When using the ATR activation method on Linux, it is possible for the activation server to crash and Tableau Server to become unlicensed.;OPEN;08/02/2023 20:03
1400801;TABLEAU SERVER;Error code 305B73A6 can occur when dragging and dropping a dimension and using a BigQuery Virtual Connection.;OPEN;08/02/2023 20:03
"1234439
1463599";TABLEAU SERVER;Tableau Server on Linux can become unexpectedly unlicensed when not using the ATR activation method.  More information is available in this Tableau Knowledge Base article.;OPEN;08/02/2023 20:03
1431834;TABLEAU SERVER;A Vizql service crash would occur when opening a workbook with an MSAS OLAP cube data source using driver version 15 or 16 in Tableau Server starting in 2022.1. Further information is available in this Knowledge Base article.;OPEN;08/02/2023 20:03
1459956;TABLEAU SERVER;"When Tableau Server is activated via the ATR activation service, LBLM licensing on Tableau Desktop and Tableau Prep could fail with ""No seat capacity found for Login-based License Management"" with versions 2021.2.15 and newer, and 2021.3.13 and newer, but not 2021.4 or 2022.1.";OPEN;08/02/2023 20:03
1424364;TABLEAU SERVER;"In External Actions, after choosing ""Add a constant"" in the map fields dialog, it is not possible to switch to another option.";OPEN;08/02/2023 20:03
1474725;TABLEAU SERVER;Starting with 2022.3, when Guest access is enabled on a Tableau Server with Core licensing, the Data Orientation pane is available for embedded users, including the Guest user. For more information, please view this Tableau Knowledge Base article.;OPEN;08/02/2023 20:03
1477190;TABLEAU SERVER;"Starting with version 2022.3, the TSM UI shows a new service, the ""Connection Pooling Service"", which is not configurable or functionally available yet. Please see this Tableau Knowledge Base article for more information.";OPEN;08/02/2023 20:03
1316530;TABLEAU SERVER;Tableau Server is incompatible with Windows Server 2022. For more information, see this Tableau Knowledge Base article.;OPEN;08/02/2023 20:03
1478663;TABLEAU SERVER;The date axis scale shows a different date after publishing to Tableau Server when using server rendering mode and the range of dates is set to a period of two days.;OPEN;08/02/2023 20:03
1435700;TABLEAU SERVER;With client rendering, the column band shading could display incorrectly.;OPEN;08/02/2023 20:03
1429870;TABLEAU SERVER;The Tableau Prep Conductor process could be in a STATUS_UNAVAILABLE state due to an inability to obtain the license state.;OPEN;08/02/2023 20:03
1440048;TABLEAU SERVER;Tableau Actions could not execute a flow that contained a Collection Variable input type of Currency.;OPEN;08/02/2023 20:03
"1491277
1468474";TABLEAU SERVER;"When creating a new subscription but there is already a similar subscription that differs only by the optional ""message"" field, the Tableau Server response implies a new subscription is created with the new message but in fact, the new subscription is not created.";OPEN;08/02/2023 20:03
1470344;TABLEAU SERVER;In a high-availability configuration, a scheduled flow could intermittently fail when the Filestore is unavailable on one of the additional nodes.;OPEN;08/02/2023 20:03
1491299;TABLEAU SERVER;If the Content Security Policy (CSP) reporting or enforcement was enabled, the GraphiQL page might not load or the browser console might display some Content Security Policy directive errors.;OPEN;08/02/2023 20:03
1491616;TABLEAU SERVER;"The REST API call to ""Run Flow now"" could fail with the error ""Resource not found"".";OPEN;08/02/2023 20:03
1492598;TABLEAU SERVER;"When running the flow on Tableau Server, the following error can occur ""Comparison method violates its general contract! System error."" The flow does not fail when run on Tableau Prep.";OPEN;08/02/2023 20:03
1472324;TABLEAU SERVER;Running a flow with MAKEDATETIME is not working as expected.;OPEN;08/02/2023 20:03
1497643;TABLEAU SERVER;After an upgrade to 2022.3, an embedded dashboard can stop working due to a redirect to the wrong URL using an incorrect port number. This only presents when terminating SSL connections are at the reverse proxy or load balancer. If external SSL is enabled on Tableau Server, then this problem will not occur.;OPEN;08/02/2023 20:03
1420863;TABLEAU ADVANCED MANAGEMENT;"When uninstalling the Resource Monitoring Tool agent on Windows, the setup process would fail with the error: ""One or more issues caused the setup to fail. Please fix the issues and then retry setup."" More information is available in this Tableau Knowledge Base article.";OPEN;08/02/2023 20:03
1068267;TABLEAU CLOUD;"When a scheduled extract refresh of a Quickbooks Online data source runs on Tableau Online, the following error occurs intermittently: ""Intuit API Authentication error: Invalid authentication tokens. Login again and retry.""";OPEN;08/02/2023 20:03
1450859;TABLEAU SERVER;In External Actions, if a dashboard is published with a configuration error in the extension, in View mode, there will be no error and the button will never become enabled.;OPEN;08/02/2023 20:03
1411990;TABLEAU SERVER;When a workbook is opened, the dynamic parameters would not load a 'datetrunc' value.;OPEN;08/02/2023 20:03
"1431254
1438340";TABLEAU SERVER;"Duplicate records could display on the data preview pane, download data button from data preview pane, Rest API, Tabcmd, and the Viz url with "":format=CSV"" parameter.";OPEN;08/02/2023 20:03
;TABLEAU MOBILE;Admins can now specify a browser - such as Microsoft Edge - to handle the Conditional Access checks under certain conditions. For more information, check out the Override the default browser used for authentication section of the Control Authentication and Access for Tableau Mobile.;"FIXED IN:
2023.123.6850";08/02/2023 20:03
1391701;TABLEAU DESKTOP;Alias for a calculated field value reverts to default when removing and re-adding a data source table.;"FIXED IN:
2022.3.3
2022.2.6
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
"1364581
1379361
1470508";TABLEAU DESKTOP;"On Tableau Desktop when attempting to browse published data sources on Tableau Server, an error could result stating ""Your session timed out. Reopen the dialog to connect.""";"FIXED IN:
2022.3.3
2022.2.6";08/02/2023 20:03
1486015;TABLEAU DESKTOP;"When adding a filter from Dimensions and selecting a random value from that Dimension, the following error was received:

Unable to complete action
Type doesn't match the expected type
Error Code: 58D44822";"FIXED IN:
2022.3.3";08/02/2023 20:03
1479169;TABLEAU CLOUD, TABLEAU SERVER;"When removing a user and the user is not showing to own any content, the following error could display, ""User could not be deleted because they own content."" The error can occur when the user had previously edited a Prep flow and saved the change as a draft. There is a flow remaining in a draft state. Cloud is resolved as of 1/12/2023.";"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1468102;TABLEAU PREP, TABLEAU SERVER;When using the output to database option for Amazon Redshift, MySQL, Pivotal Greenplum Database, and PostgreSQL in a Prep flow, a log statement was created that contained information about the output data.;"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1472254;TABLEAU PREP;When launching Tableau Prep 2022.3, the prompt to sign in to Tableau Cloud or Tableau Server would occur each time.;"FIXED IN:
2022.3.3";08/02/2023 20:03
1472324;TABLEAU PREP;Running a flow with MAKEDATETIME was not working as expected.;"FIXED IN:
2022.3.3";08/02/2023 20:03
1491641;TABLEAU PREP;In version 2022.4, Prep could fail to load data from a local .hyper file.;"FIXED IN:
2022.4.1";08/02/2023 20:03
1474850;TABLEAU SERVER;Some customers were unable to establish LDAPS connections between Tableau Server and the identity store after upgrading to the October maintenance release.;"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1484409;TABLEAU SERVER;"When adding a comment that mentions a user in a view, the mention mail has ""{1}"" and ""{2}"" characters in error with the Japanese language set.";"FIXED IN:
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1474466;TABLEAU SERVER;Frequent failures of Elasticsearch (2021.4 or prior) and OpenSearch (Index & Search Server 2022.1 or newer) processes cause Ask Data outages and Passive status in TSM.;"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1444084;TABLEAU SERVER;A published view on Tableau Server would not show any data with some calculated fields containing a date calculation but the view displays correctly on Tableau Desktop.;"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1440993;TABLEAU SERVER;"When using the Add Project Permissions REST API (""/api/../projects/project-id/permissions"") to add a group's permission to a locked parent project, the permissions do not cascade to the children projects.";"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1493146;TABLEAU SERVER;Updated Tableau Server cloud-file connectors to be in line with best practices.;"FIXED IN:
2022.3.3
2022.1.11
2021.4.15
2021.3.20
2021.2.21
2021.1.23";08/02/2023 20:03
1477801;TABLEAU SERVER;"GraphQL MetaData API query returned a ""Null"" value for the folderName attribute when using a Tableau auto-generated field created in a custom folder.";"FIXED IN:
2021.3.20
2021.2.21";08/02/2023 20:03
1447040;TABLEAU SERVER;When configured with the ATR activation service, Tableau Server HA does not have a grace period if the initial node goes down.;"FIXED IN:
2022.3.3
2022.1.11
2021.4.15";08/02/2023 20:03
1431244;TABLEAU SERVER;"On RedHat, CentOS, and Oracle Linux, when initializing TSM, the tabadmincontroller could crash which would not allow an installation to complete. All Intel(R) Xeon(R) Gold/Silver CPU platforms are impacted. The error, ""Operation Error
One or more control plane services(s) are in a non-active state. Run tsm status -v for more information. Services:tabadmicontroller. Status : Down.
Error : TSM Services returned status 10"" would display.";"FIXED IN:
2022.3.3
2022.1.11
2021.4.15";08/02/2023 20:03
1473183;TABLEAU SERVER;In the REST API for filtering, the Query Datasource calling projectName would not display any results after upgrading to 2022.1.6.;"FIXED IN:
2022.3.3
2022.1.11";08/02/2023 20:03
1461452;TABLEAU SERVER;SAP HANA input parameters would prompt every time a sheet was changed.;"FIXED IN:
2022.3.3
2022.1.11";08/02/2023 20:03
1491266;TABLEAU SERVER;Tableau Server upgrade to 2022.3 was requiring a minimum of 64GB of memory on additional nodes instead of the documented 16GB.;"FIXED IN:
2022.3.3";08/02/2023 20:03
1492305;TABLEAU SERVER;"It would not be possible to view the ""Stats for Space Usage"" Admin view and the error would display, ""Forbidden Action. To access this workbook, you must have the Connect permission for its data source.""";"FIXED IN:
2022.3.3";08/02/2023 20:03
1453781;TABLEAU SERVER;"The number of ""All Users"" displayed on Groups, was one greater than the actual number.";"FIXED IN:
2022.3.3";08/02/2023 20:03
